,name,title,author,year
0,Coolu Libraru,Don Quixote,Miguel de Cervantes,1605
1,Coolu Libraru,Crime and Punishment,Fyodor Dostoevsky,1866
2,Coolu Libraru,The Lord of the Rings,J.R.R. Tolkien,1954
3,Coolu Libraru,War and Peace,Leo Tolstoy,1869
4,Coolu Libraru,Moby Dick,Herman Melville,1851
5,Coolu Libraru,The Great Gatsby,F. Scott Fitzgerald,1925
6,Coolu Libraru,To Kill a Mockingbird,Harper Lee,1960
7,Coolu Libraru,1984,George Orwell,1949
8,Coolu Libraru,Pride and Prejudice,Jane Austen,1813
9,Coolu Libraru,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979
